entityid,entityname,principaladdress1,principaladdress2,principalcity,principalstate,principalzipcode,principalcountry,mailingaddress1,mailingaddress2,mailingcity,mailingstate,mailingzipcode,mailingcountry,entitystatus,jurisdictonofformation,entitytypeverbatim,entitytype,agentfirstname,agentmiddlename,agentlastname,agentsuffix,agentorganizationname,agentprincipaladdress1,agentprincipaladdress2,agentprincipalcity,agentprincipalstate,agentprincipalzipcode,agentprincipalcountry,agentmailingaddress1,agentmailingaddress2,agentmailingcity,agentmailingstate,agentmailingzipcode,agentmailingcountry,entityformdate
19911034133,"CHAMPION BREWING COMPANY OF COLORADO, LTD.",1400 LARIMER ST STE 300,,Denver,CO,80202,US,,,,,,,Exists,,Limited Partnership,DLP,ISAACON,ROSENBAUM,WOODS,,,633 17TH ST STE 2200,,DENVER,CO,80202,US,,,,,,,5/10/1991
20091360859,"Longmont Hebrew School, Delinquent January 1, 2011",1509 Stones Peak Drive,,Longmont,CO,80503,US,,,,,,,Delinquent,,Nonprofit Corporation,DNC,Eli,C,Stein,,,1509 Stones Peak Drive,,Longmont,CO,80503,US,,,,,,,7/6/2009
20091517926,Snowpack Brewing Company LLC,487 Gross Rd.,,Bailey,CO,80421,US,487 Gross Rd,,Bailey,CO,80421,US,Good Standing,,Limited Liability Company,DLLC,Matthew,Garry,Lahey,,,487 Gross Rd.,,Bailey,CO,80421,US,,,,,,,9/30/2009
20091534668,"Floyd's Brewing Company, LLC",5600 Olde Wadsworth Blvd,,Arvada,CO,80002,US,,,,,,,Delinquent,,Limited Liability Company,DLLC,Cary,,Floyd,,,5600 Olde Wadsworth Blvd,,Arvada,CO,80002,US,,,,,,,10/8/2009
20011093939,"HARDTAIL BREWING, LLC, Dissolved October 31, 2004",3100 S SHERIDAN BLVD STE 1C-16,,Denver,CO,80224,US,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,JACOB,R.,NAEB,,,3100 S SHERIDAN BLVD STE 1C-16,,DENVER,CO,80224,US,,,,,,,5/8/2001
19961008524,"PINE STREET BREWING PARTNERS LLC, Dissolved January 1, 2002",,1006 PINE ST,Louisville,CO,80027,US,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,TIMOTHY,A.,NORDBERG,,,377 E 55TH AVE,,DENVER,CO,80216,US,,,,,,,1/19/1996
19961112274,"R.E. BREWER, INC.",40057 E FLORIDA DRIVE,,Bennett,CO,80102,US,,,,,,,Good Standing,,Corporation,DPC,ROBERT,F.,BREWER,,,40057 E FLORIDA DRIVE,,BENNETT,CO,80102-8409,US,,,,,,,8/26/1996
19961113269,"CORDILLERA BREWING COMPANY, LLC, Dissolved August 26, 2007",3377 S. BIRCH ST.,,Denver,CO,80222,US,3377 S. Birch St.,,Denver,CO,80222,US,Voluntarily Dissolved,,Limited Liability Company,DLLC,BRADLY,W.,PAGE,,,3377 S. BIRCH ST.,,DENVER,CO,80222,US,3377 S. Birch St.,,Denver,CO,80222,US,8/28/1996
19951069987,SKA BREWING CO.,225 Girard,,Durango,CO,81303,US,,,,,,,Good Standing,,Corporation,DPC,WILLIAM,D.,GRAHAM,,,225 Girard,,DURANGO,CO,81303,US,680 39 Road,,Palisade,CO,81526,US,5/30/1995
19971040051,"GORE RANGE BREWERY, L.L.C., Delinquent August 1, 2012",0105 EDWARDS VILLAGE BLVD,,Edwards,CO,81632,US,427 PILGRIM DR,,Edwards,CO,81632,US,Delinquent,,Limited Liability Company,DLLC,JAMES,,ERRANT,,,427 PILGRIM DR,,EDWARDS,CO,81632,US,,,,,,,3/14/1997
19911075674,"ROCKY MOUNTAIN BREWING COMPANY, Dissolved March 1, 2004",1999 BEACON CT,,Boulder,CO,80302,US,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,9/23/1991
19871738215,CARVER BREWING CO.,1022 MAIN AVE,,Durango,CO,81301,US,,,,,,,Good Standing,,Corporation,DPC,WILLIAM,,CARVER,,,1022 MAIN AVE,,DURANGO,CO,81301,US,34 Perins Vista Dr,,Durango,CO,81301,US,8/18/1987
19971048117,"KIRIN BREWERY OF AMERICA LLC, Colorado Authority Relinquished July 19, 2016",5230 PACIFIC CONCOURSE DR STE 310,,Los Angeles,CA,90045,US,,,,,,,Withdrawn,,Foreign Limited Liability Company,FLLC,,,,,CORPORATION SERVICE COMPANY,1560 BROADWAY,SUITE 2090,DENVER,CO,80202,US,,,,,,,3/27/1997
19931100716,"SILVER PLUME BREWING COMPANY, Dissolved July 1, 1998",458 MAIN STREET,,Silver Plume,CO,80476,US,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,9/20/1993
19931101695,INDIAN PEAKS BREWING COMPANY,1265 BOSTON AVE,,Longmont,CO,80501,US,,,,,,,Good Standing,,Corporation,DPC,Jon,Eric,Wallace,,,1265 BOSTON AVE,,LONGMONT,CO,80501,US,,,,,,,9/21/1993
19941098559,WINTER PARK BREWING COMPANY,78260 US HWY 40,P.O. Box 1410,Winter Park,CO,80482-1410,US,,,,,,,Delinquent,,Corporation,DPC,Pete,,Jordon,,,78260 US HWY 40,,WINTER PARK,CO,80482,US,P.O Box 1410,,Winter Park,CO,80482-2993,US,9/1/1994
19911061826,"BREWSTER BENEFITS, INC., Delinquent December 1, 2008",8200 E. Belleview Ave.,Suite 206C,Englewood,CO,80011,US,,,,,,,Delinquent,,Corporation,DPC,Brooks,B,Bergner,,,11241 N. Delbert Rd.,,Parker,CO,80138,US,,,,,,,8/7/1991
20001034018,"JARRE CREEK RANCH BREWERY, L.L.C.",1999 Broadway,Suite 3150,Denver,CO,80202,US,,,,,,,Delinquent,,Limited Liability Company,DLLC,George,Stephen,Long,,,1999 Broadway,Suite 3150,Denver,CO,80202,US,6821 eagle place,,highlands ranch,CO,80130,US,2/16/2000
19951077557,"DENVER BREWING COMPANY, INC.",721 Emerson St,,Denver,CO,80218,US,721 Emerson St,,Denver,CO,80218,US,Good Standing,,Corporation,DPC,Joseph,,Benetka,,,721 Emerson St,,Denver,CO,80218,US,721 Emerson St,,Denver,CO,80218,US,6/14/1995
19941100228,"BRECKENRIDGE BREWERY OF THE GREAT GORGE, LTD.",1444 WAZEE ST STE 320,,Denver,CO,80202,US,,,,,,,Exists,,Limited Partnership,DLP,RICHARD,P.,SQUIRE,,,1444 WAZEE ST STE 320,,DENVER,CO,80202,US,,,,,,,9/7/1994
19961018458,"NEW JERSEY BREWING COMPANY LLC, Dissolved June 14, 2000",1634 18TH ST,,Denver,CO,80202,US,,,,,,,Voluntarily Dissolved,,Limited Liability Company,DLLC,JOHN,,HICKENLOOPER,,,1634 18TH ST,,DENVER,CO,80202,US,,,,,,,2/8/1996
19951078780,"UPSTREAM BREWING COMPANY, L.L.C.",514 South 11th Street,1337 South 101st St.,Omaha,NE,68102,US,514 South 11th Street,1337 South 101st St.,Omaha,NE,68102,US,Good Standing,,Limited Liability Company,DLLC,Doug,K,Magee,,,7275 W. 62nd St.,,Arvada,CO,80003,US,,,,,,,6/16/1995
19971053595,"OLDE TOWN BREWING COMPANY, L.L.C., Dissolved September 1, 2001",6822 W 53RD PL,,Arvada,CO,80003,US,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,WILLIAM,,HOWELL,,,6822 W 53RD PL,,ARVADA,CO,80003,US,,,,,,,4/4/1997
19871770175,"WYNKOOP BREWING, LLC",1634 18th Street,,Denver,CO,80202,US,2645 East 2nd Ave,Suite 200,Denver,CO,80206,US,Good Standing,,Limited Liability Company,DLLC,,,,,"Breckenridge-Wynkoop, LLC",2645 East 2nd Ave,Suite 200,Denver,CO,80206,US,,,,,,,1/22/1988
19911097730,"I'LL DRINK TO THAT BREWERY, INC., Delinquent December 1, 2014",471 KALAMATH STREET,,Denver,CO,80204,US,,,,,,,Delinquent,,Corporation,DPC,EDWARD,A,CERKOVNIK,Jr.,,471 KALAMATH ST,,DENVER,CO,80204,US,,,,,,,12/2/1991
19881000019,WHIPPLE & BREWSTER CORPORATION,3335 CR 113,,Carbondale,CO,81623,US,,,,,,,Good Standing,,Corporation,DPC,GEORGE,S.,WHIPPLE,,,3335 COUNTY RD 113,,CARBONDALE,CO,81623,US,400 E Hyman Ave,STE A202,Aspen,CO,81611,US,2/1/1988
19941106791,"ALPINE BREWING COMPANY, LLC, Dissolved May 21, 2002",1800 15TH STREET,SUITE 203,Denver,CO,80202,US,,,,,,,Voluntarily Dissolved,,Limited Liability Company,DLLC,C.,THOMAS,SORENSON,,,4 WHITE OAK DR,,LITTLETON,CO,80127,US,,,,,,,9/22/1994
19911081045,"BREWSKI'S PUB AND GRILL, INC., Delinquent September 1, 2007",1451 Cortez unit F,,Denver,CO,80221,US,,,,,,,Delinquent,,Corporation,DPC,Lynette,Marie,Gilchrist,,,4 Sandpiper Cr,,Thornton,CO,80241,US,,,,,,,10/8/1991
19961024394,"THE BREWING-SCIENCE INSTITUTE, INC.",106 Glen Dale Dr,,Woodland Park,CO,80863,US,,,,,,,Good Standing,,Corporation,DPC,,,,,Brewing Science Institute,106 Glen Dale Dr,,Woodland Park,CO,80863,US,,,,,,,2/21/1996
20111574715,"Yampa Valley Brewing Company, Delinquent March 1, 2013",1126 School St.,,Craig,CO,81625,US,,,,,,,Delinquent,,Limited Liability Company,DLLC,Eric,,Hansen,,,1126 School St.,,Craig,CO,81625,US,,,,,,,10/14/2011
19961122847,"HOMEBREW & MORE, L.L.C., Dissolved January 1, 2003",PHYSICAL ADDRESS:,20495 PINE SHADOW DR,Colorado Springs,CO,80908,US,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,GREG,W.,PEARMAN,,,PO BOX 783,,COLORADO SPRINGS,CO,80901,US,,,,,,,9/19/1996
19881006615,"RESORT BREWERIES, INC., Dissolved September 23, 2004",1000 S FRONTAGE RD WEST,SUITE 200,Vail,CO,81657,US,,,,,,,Administratively Dissolved,,Corporation,DPC,JERRY,,JONES,,,1000 S FRONTAGE RD WEST #200,,VAIL,CO,81657,US,,,,,,,2/19/1988
19951082452,"BRECKENRIDGE BREWERY ROYALTY LLC, Dissolved January 1, 2003",600 S MAIN ST,,Breckenridge,CO,80424,US,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,MARTY,,WHITE,,,600 S MAIN ST,,BRECKENRIDGE,CO,80424,US,PO BOX 75,,BRECKENRIDGE,CO,80424,US,6/26/1995
19941109426,"SILVERTON BREWERY, LTD., Dissolved August 1, 2001",1139 GREENE STREET,,Silverton,CO,81433,US,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,9/29/1994
20011111434,"BREWER FENCING, LLC, Delinquent August 1, 2008",401 NEILSON RD,,Pueblo,CO,81001,US,P. O.Box 11314,,Pueblo,CO,81001,US,Delinquent,,Limited Liability Company,DLLC,JOSEPH,D.,BOWER,,,503 N. Main Street,Suite 221,PUEBLO,CO,81003,US,P.O. Box 583,,Pueblo,CO,81002,US,6/4/2001
19911087079,"PHANTOM CANYON BREWING, LLC",2 East Pikes Peak Avenue,,Colorado Springs,CO,80903,US,2645 East 2nd Ave,Suite 200,Denver,CO,80206,US,Good Standing,,Limited Liability Company,DLLC,,,,,"Breckenridge-Wynkoop, LLC",2645 East 2nd Ave,Suite 200,Denver,CO,80206,US,,,,,,,10/29/1991
19911088408,"BANQUET BREWING COMPANY, INC., Dissolved September 1, 1998",185 DOWNING,,Denver,CO,80218,US,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,11/1/1991
19941110457,"COLORADO HOMEBREWER'S SUPPLY LLC, Dissolved July 28, 1997",11474 W 105TH WAY,,Westminster,CO,80021,US,,,,,,,Voluntarily Dissolved,,Limited Liability Company,DLLC,HAROLD,M.,SMITH,,,11474 W 105TH WAY,,WESTMINSTER,CO,80021,US,,,,,,,10/3/1994
19971057974,"PAGOSA SPRINGS BREWING COMPANY, LLC, Dissolved September 1, 2002",164 N PAGOSA BLVD,,Pagosa Springs,CO,81147,US,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,,,,,,,,,,,,,,,,,,4/11/1997
19941113881,"BRECKENRIDGE BREWERY OF BUFFALO, LTD.",1444 WAZEE ST STE 320,,Denver,CO,80202,US,,,,,,,Exists,,Limited Partnership,DLP,RICHARD,P.,SQUIRE,,,1444 WAZEE ST STE 320,,DENVER,CO,80202,US,,,,,,,10/11/1994
20001079778,"BREWER ACCOUNTING, INC., Delinquent October 1, 2010",3969 E ARAPAHOE RD Ste 100,,Centennial,CO,80122,US,,,,,,,Delinquent,,Corporation,DPC,DAVID,S.,BREWER,,,3969 E ARAPAHOE RD Ste 100,,CENTENNIAL,CO,80122,US,,,,,,,4/19/2000
19971163052,"BREWER AND ASSOCIATES, INC.",22309 EAST LAKE AVE,,Centennial,CO,80015,US,,,,,,,Delinquent,,Corporation,DPC,MIKE,A,BREWER,,,22309 EAST LAKE AVE,,CENTENNIAL,CO,80015,US,,,,,,,10/10/1997
19961029097,"BREWER BROTHERS LLC, Dissolved January 1, 2002",508 DEER TRAIL RD,,Boulder,CO,80027,US,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,RICHARDSON,ERIC,BELTRAN,,,508 DEER TRAIL RD,,BOULDER,CO,80027,US,,,,,,,3/1/1996
19961029361,"COLORADO BREWERY AND TRADING CO., L.L.C., Dissolved September 23, 2004",1300 PLAZA COURT N  STE 101,,Lafayette,CO,80026,US,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,TIMOTHY,D.,FOSTER,,,1300 PLAZA COURT N  STE 101,,LAFAYETTE,CO,80026,US,,,,,,,3/1/1996
19871445724,"BERGE-BREWER & ASSOCIATES, INC., Delinquent February 1, 2009",2850 Serendipity Circle West,Suite 100,Colorado Springs,CO,80917,US,10565 THOMAS RD,,Colorado Springs,CO,80908,US,Delinquent,,Corporation,DPC,,,,,,,,,,,,,,,,,,8/10/1981
19921007850,"SPRINGS BREWING COMPANY, Dissolved November 1, 2000",1860 SKI TIME SQUARE DR,,Steamboat Springs,CO,80487,US,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,1/27/1992
19921008734,"THE COLUMBINE CHAPTER OF THE AMERICAN BREWERIANA ASSOC., Delinquent June 1, 2015",7249 PETURSDALE CT,,Boulder,CO,80301-3832,US,,,,,,,Delinquent,,Nonprofit Corporation,DNC,WILLIAM,,BESFER,,,7249 PETURSDALE CT,,BOULDER,CO,80301-3832,US,,,,,,,1/30/1992
19881069288,CONGREGATION HEBREW EDUCATIONAL ALLIANCE,3600 S IVANHOE ST,,Denver,CO,80237,US,,,,,,,Good Standing,,Nonprofit Corporation,DNC,NEAL,S,PRICE,,,1011 S VALENTIA ST STE 10,,DENVER,CO,80247,US,3600 S Ivanhoe Street,,Denver,CO,80237,US,6/27/1988
